出典,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,解説
統一基準ガイドライン 遵守事項2.1.1(1)(a),最高情報セキュリティ責任者（CISO）の役割として、統一基準で「自ら直接関与すべき」と定められている業務はどれだお？,ファイアウォールの詳細な設定変更とログの常時監視,対策基準・対策推進計画の決定と、重大インシデント発生時の対処指示,全職員のパソコンにおける日常的なウイルススキャンの実行,所管するすべての独立行政法人の情報セキュリティ監査の直接的な実施,2,【結論】正解は2だお！CISOは組織全体の方向付けを行うため、方針決定や重大時の指揮は自ら行う必要があるお！ 【根拠】CISO（Chief Information Security Officer）の「Chief」は「組織のトップ・長」を意味するお。国の行政機関では局長や官房長クラスが務める重要なポジションだお。組織全体のガバナンスや内部統制の視点から見ると、リソースの配分権限を持つトップが、自ら計画を決定し有事の際に直接リーダーシップを取ることが、実効性のある対策の根幹になるんだお！ 【注意点・例外】CISOは実務のすべてを行うわけではなく、全体の俯瞰と意思決定に集中する役割だお。
統一基準ガイドライン 遵守事項2.1.1(1)(b),最高情報セキュリティ副責任者は、CISOからの「委任」を受けて実務を総括するお。この「委任」に関して正しい説明はどれだお？,委任された事務に関する任命・監督の責任は、すべて副責任者に完全に移行する,CISOが自ら行うべき重要事項も含め、すべての事務を例外なく委任できる,事務を任せることはできるが、任命及び監督の最終的な責任はCISOに残る,委任された事務についての報告先は、必ず外部の第三者機関に設定しなければならない,3,【結論】正解は3だお！実務を任せても、トップとしての最終責任までは手放せないんだお！ 【根拠】「委任（Delegation）」という言葉の法的・組織的な仕組みがポイントだお。副責任者はあくまで高度な専門性を持ってCISOを「助けて」実務を回すポジションだお。組織監査の原則としても、権限を委譲しても責任はトップに残留するという原則は鉄則だお！だからこそ、副責任者からCISOへの適切な「報告ルート」をあらかじめ定めておくことがガイドラインでも推奨されているんだお。 【注意点・例外】CISOが自ら行うべき重要事項は委任の対象外だお。
統一基準ガイドライン 基本対策事項2.1.1(1)-1 d),統一基準における「情報セキュリティインシデント」の考え方として、適切なものはどれだお？,情報漏えいやシステム停止など、実際に被害が発生した事象のみを指す,被害は顕借化していなくても、事業運営やセキュリティを脅かす「おそれ」が高い事象も含まれる,外部からのサイバー攻撃による事象のみを指し、内部の過失によるものは含まれない,情報システムの停止を伴わない限り、いかなる機密情報の漏えいもインシデントには含まれない,2,【結論】正解は2だお！実際の被害ゼロでも「ヒヤリハット」の段階でインシデント認定されるお！ 【根拠】「インシデント（Incident）」は「出来事・事例」を意味する語源を持ち、重大な被害を伴う「アクシデント（Accident：事故）」の一歩手前の状態も含む言葉だお。例えば「機密情報の入ったUSBを紛失した（まだ誰にも拾われていない）」という場合、被害は確定していなくてもセキュリティを脅かす確率が非常に高いからインシデントとして扱うんだお！ 【注意点・例外】不正プログラム感染や誤送信など、意図しない過失もインシデントに含まれるお。
統一基準ガイドライン 基本対策事項2.1.1(1)-1 e),国の行政機関が、所管する独立行政法人などの情報セキュリティ対策を推進する体制を整備する際、ガイドラインで想定されている対応はどれだお？,専門的知見を踏まえた助言を行えるよう、連絡窓口や相談窓口を設置すること,所管法人のセキュリティ対策は完全に自己責任とし、国の機関はいっさい関与しないこと,所管法人独自のルールを禁止し、国の行政機関と全く同じシステム環境を強制的に導入させること,法人のセキュリティ対策にかかるすべての予算を、国の行政機関の予算から直接拠出する体制を作ること,1,【結論】正解は1だお！親組織として、適切な助言や指導ができるコミュニケーション体制を作ることが求められているお！ 【根拠】独立行政法人は独立した法人格を持つけど、その業務の評価や中長期目標の指示は所管する省庁（主務大臣）が行う仕組みになっているお。だからセキュリティに関しても「目標に組み込む」「評価する」「相談に乗る」というPDCAサイクルを回すための体制（窓口など）が必要なんだお。親組織と子組織の連携ハブを作ることがグループ全体の防衛力強化に直結するお！ 【注意点・例外】法人にはそれぞれの根拠法に基づく指導が必要であり、一律に同じシステムを強制するわけではないお。
統一基準ガイドライン 遵守事項2.1.1(2)(a),統一基準ガイドラインにおける「情報セキュリティ委員会」の設置や運営について、正しい説明はどれだお？,委員長は最高情報セキュリティ責任者（CISO）以外の者が務めなければならない。,組織全体としての方向付けを要するため、「対策基準」及び「対策推進計画」を必ず審議事項とする必要がある。,実務レベルの詳細な事項もすべて本委員会で審議しなければならず、下位の委員会を設置することは認められていない。,委員会は情報セキュリティ部門の職員のみで構成し、他部局の代表者を参加させてはならない。,2,【結論】正解は2だお！委員会では組織全体の方針に関わる「対策基準」と「対策推進計画」をしっかり揉む必要があるお！ 【根拠】「委員会（Committee）」は「委任された人たちの集まり」を意味する言葉だお。セキュリティ対策を情報システム部門だけで勝手に決めると、他の部署から「業務が回らない！」と反発が起きるお。だから、各部局の代表者を集めて意見調整を図るんだお。組織全体のルールになる「対策基準」と「計画」は、この委員会で審議して全体の方針と整合させることが必須とされているお！ 【注意点・例外】委員長はCISO自身が兼任しても問題ないお。また、実務的な細かい調整は「下位委員会」を作って効率化することも推奨されているお！
統一基準ガイドライン 遵守事項2.1.1(3)(a),統一基準ガイドラインにおける「情報セキュリティ監査責任者」の設置や役割について、正しい説明はどれだお？,監査の独立性を確保するため、いかなる場合でも情報セキュリティ責任者より職務上の上位の者を任命しなければならない。,監査を受ける者とその監査を実施する者は兼務してはならないため、監査実施計画の策定時に監査実施者の指定に配慮する必要がある。,監査責任者が自ら監査対象となる場合でも、外部組織を活用することは禁止されており、必ず内部の監査実施者が評価を行わなければならない。,情報セキュリティ監査責任者は、監査結果を統括情報セキュリティ責任者にのみ報告し、最高情報セキュリティ責任者（CISO）への直接報告は不要である。,2,【結論】正解は2だお！評価する側とされる側をしっかり分ける「独立性」の確保が鉄則だお！ 【根拠】「監査（Audit）」の語源はラテン語の「Audire（聞く）」に由来し、客観的に状況を聞き取って正す役割を持つお。ここで問われているのは監査の命である「独立性」だお！システム監査技術者として培ったガバナンスの視点がそのまま活きるお！自らの業務を自分で監査すると客観性が損なわれるため、「監査を受ける者」と「実施する者」は絶対に兼務できないんだお。もし上位者を監査責任者に任命することでCISO等と同一人物になってしまう場合は、あえて上位者にこだわらないなど、柔軟かつ厳密に独立性を守る仕組みが求められているお！ 【注意点・例外】監査責任者自身が監査対象になる場合は、補佐役の「監査副責任者」を立てて監査の独立性を保つ工夫も認められているお。必要に応じて外部組織の活用も推奨されているお。
統一基準ガイドライン 遵守事項2.1.1(4)(a),組織のまとまりごとに設置される「情報セキュリティ責任者」について、特に研究開発機関などにおける役割として適切な説明はどれだお？,管理部門と研究部門では業務形態が異なるため、部門ごとに全く異なる独自の情報セキュリティ基準を設けて個別に運用することが求められる。,各研究部門の長などが役割を担い、研究内容だけでなく情報セキュリティについても研究者に対しリーダーシップを発揮し、組織全体としての統一的なセキュリティ確保に努めることが求められる。,研究活動の自由度を最優先するため、情報セキュリティ対策の対象から研究部門を完全に除外し、管理部門のみで対策を行う。,情報セキュリティ責任者は外部の有識者に委託し、内部の部門長は研究活動のみに専念する体制を構築する。,2,【結論】正解は2だお！部門の長自らがセキュリティのリーダーシップをとることが重要だお！ 【根拠】研究開発機関のように管理部門と研究部門で業務内容が違う場合でも、セキュリティは「組織全体としての統一的な確保」が必須だお！セキュリティの穴（脆弱性）は一番弱いところから狙われるからだお。だから、研究部門の長自らが「情報セキュリティ責任者」となり、研究面だけでなくセキュリティ面でもメンバーを引っ張っていく（リーダーシップを発揮する）ことが強く求められているんだお！
統一基準ガイドライン 遵守事項2.1.1(4)(a),最高情報セキュリティ責任者（CISO）を補佐するために選任される「統括情報セキュリティ責任者」の役割として適切なものはどれだお？,CISOが自ら行うべき重要事項の決定権限をすべて引き継ぎ、CISOに代わって最終的な意思決定を行う。,機関等の情報セキュリティ対策について総合調整する事務を担い、対策基準や対策推進計画の案の作成などを行う。,各部局に設置された情報セキュリティ責任者を廃止し、すべての部局のセキュリティ業務を単独で直接実行する。,外部監査機関のトップを兼務し、自組織のセキュリティ対策に対する外部監査を自ら実施する。,2,【結論】正解は2だお！CISOの手足となって組織全体の調整や計画の「案」を作るのがメインの役割だお！ 【根拠】「統括（とうかつ）」には全体をまとめて管轄するという意味があるお。複数の情報セキュリティ責任者（各局のトップなど）の中から選ばれ、CISOや副責任者を助ける（補佐する）ポジションだお！だから、実務的な全体調整を行ったり、ルール（対策基準等）の「案」を練ったりするのが仕事だお。ただし、最終的な「決定（任命・監督の責任）」はあくまでトップであるCISOに残るという原則は忘れないでね！
統一基準ガイドライン 遵守事項2.1.1(4)(b),施設や環境に関する対策を推進する「区域情報セキュリティ責任者」について、ガイドラインで想定されている兼任の考え方として適切なものはどれだお？,物理的な施設の管理者（サーバ室の管理者など）が兼任することが想定されており、対策が同等なら施設管理者の指定をもって設置とみなせる場合がある。,施設の管理者とは完全に分離しなければならず、必ず外部の警備会社の責任者を任命しなければならない。,組織内のすべての区域を1人の情報システムセキュリティ責任者が一括して管理・兼任しなければならない。,区域ごとの責任者は不要であり、全職員が輪番制で日々の施設の鍵締めを行うことでその役割を代替できる。,1,【結論】正解は1だお！施設の鍵や入退室を管理している人がそのままセキュリティの責任者も兼ねるのが自然で効率的だお！ 【根拠】「区域（Physical area）」のセキュリティとは、サーバ室や執務室への不正侵入や物理的破壊を防ぐことだお。これを実行するには、その部屋の鍵の権限やレイアウトを決めている「施設の管理者」が適任なんだお！だから、施設管理のルールとセキュリティのルールが実質的に同じレベルで守られているなら、あえて別の責任者を立てなくても「施設管理者＝区域情報セキュリティ責任者」とみなしてOKとされているんだお！
統一基準ガイドライン 遵守事項2.1.1(4)(c),「課室情報セキュリティ責任者」の設置において、その役割を担う者としてガイドラインが「望ましい」としているのはどのような役職の者だお？,最新のIT知識を持つ新入職員,課室長又はそれに相当する者,人事部門の責任者,外部から招へいしたセキュリティコンサルタント,2,【結論】正解は2だお！情報の取り扱いに関する最終判断は、その部署の長がやるのが一番確実だお！ 【根拠】課室情報セキュリティ責任者のメインの仕事は「情報の取扱い等の是非を判断する」ことだお。つまり、「この機密情報はA社に提供してもよいか？」「このファイルは破棄してよいか？」といった業務上の判断を下す必要があるお。だから、その業務の実態と権限を一番持っている「課室長」クラスが担当するのが理にかなっている（望ましい）とされているんだお！ITスキルの高さよりも、業務上の責任と判断権限が重視されるポジションだお！
